Application ID,mohela_clid,Application_date,Loan Amount,Closing_date,Schedule_funding_date,Stage,Loan_Type,Term,Rate Type,Undiscounted Rate,disbursement_1,disbursement_1_date,disbursement_2,disbursement_2_date,disbursement_3,disbursement_3_date,disbursement_4,disbursement_4_date
55393,55393,03/12/2017,144870.52,04/03/2017,04/03/2017,Closed,Refi,5,Variable,3.48,,,,,,,,
55407,55407,03/12/2017,268842.6,04/18/2017,04/18/2017,Closed,Refi,20,Fixed,5.45,,,,,,,,
55274,55274,03/12/2017,191768.15,05/01/2017,05/01/2017,Closed,Refi,10,Fixed,5.15,,,,,,,,
55279,55279,03/12/2017,71921.6,04/24/2017,04/24/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
55332P1,55332P1,03/12/2017,194018.29,05/18/2017,05/18/2017,Closed,Refi,15,Fixed,5.15,,,,,,,,
55346P1,55346P1,03/12/2017,157042.64,06/12/2017,06/12/2017,Closed,Refi,15,Fixed,5.35,,,,,,,,
55354,55354,03/12/2017,99223.53,03/20/2017,03/20/2017,Closed,Refi,10,Fixed,5.4,,,,,,,,
55395,55395,03/12/2017,55467,03/21/2017,03/21/2017,Closed,Refi,15,Fixed,5.7,,,,,,,,
55399,55399,03/12/2017,83781.41,04/19/2017,04/19/2017,Closed,Refi,20,Fixed,6.4,,,,,,,,
55401,55401,03/12/2017,112148.02,03/28/2017,03/28/2017,Closed,Refi,5,Fixed,4.45,,,,,,,,
55409,55409,03/12/2017,251525.56,05/15/2017,05/15/2017,Closed,Refi,20,Fixed,5.45,,,,,,,,
55432,55432,03/13/2017,107572.37,04/07/2017,04/07/2017,Closed,Refi,20,Fixed,5.4,,,,,,,,
55448,55448,03/13/2017,121397.57,04/03/2017,04/03/2017,Closed,Refi,15,Fixed,5.35,,,,,,,,
55472,55472,03/13/2017,45315.72,04/05/2017,04/05/2017,Closed,Refi,20,Fixed,6.15,,,,,,,,
55473,55473,03/13/2017,20000,05/10/2017,05/10/2017,Closed,Refi,5,Fixed,4.75,,,,,,,,
55512,55512,03/13/2017,89020.95,03/24/2017,03/24/2017,Closed,Refi,5,Variable,4.83,,,,,,,,
55515,55515,03/13/2017,87919.41,04/03/2017,04/03/2017,Closed,Refi,7,Fixed,4.95,,,,,,,,
55573,55573,03/13/2017,49155.32,04/19/2017,04/19/2017,Closed,Refi,7,Fixed,5.3,,,,,,,,
55604,55604,03/13/2017,45614.75,03/28/2017,03/28/2017,Closed,Refi,5,Variable,4.08,,,,,,,,
55609,55609,03/13/2017,65926.07,03/23/2017,03/23/2017,Closed,Refi,15,Fixed,6.4,,,,,,,,
55617,55617,03/13/2017,132265.6,05/04/2017,05/04/2017,Closed,Refi,20,Fixed,6.05,,,,,,,,
55627,55627,03/13/2017,106793.46,03/23/2017,03/23/2017,Closed,Refi,7,Fixed,4.75,,,,,,,,
55640,55640,03/13/2017,271089.48,04/24/2017,04/24/2017,Closed,Refi,10,Fixed,5.85,,,,,,,,
55417,55417,03/13/2017,299241.18,04/07/2017,04/07/2017,Closed,Refi,15,Variable,4.53,,,,,,,,
55475,55475,03/13/2017,18868,03/27/2017,03/27/2017,Closed,Refi,5,Fixed,4.85,,,,,,,,
55478,55478,03/13/2017,18197.16,03/23/2017,03/23/2017,Closed,Refi,5,Variable,3.83,,,,,,,,
55483,55483,03/13/2017,54875.24,04/24/2017,04/24/2017,Closed,Refi,20,Fixed,6.05,,,,,,,,
55527,55527,03/13/2017,81852.24,04/05/2017,04/05/2017,Closed,Refi,20,Fixed,6.75,,,,,,,,
55543,55543,03/13/2017,119177.12,03/22/2017,03/22/2017,Closed,Refi,15,Fixed,5.6,,,,,,,,
55555,55555,03/13/2017,44065.97,03/24/2017,03/24/2017,Closed,Refi,10,Fixed,5.6,,,,,,,,
55562,55562,03/13/2017,104309.83,04/03/2017,04/03/2017,Closed,Refi,7,Fixed,4.85,,,,,,,,
55566,55566,03/13/2017,49297.36,03/27/2017,03/27/2017,Closed,Refi,15,Fixed,6.5,,,,,,,,
55575,55575,03/13/2017,102854.49,03/21/2017,03/21/2017,Closed,Refi,5,Fixed,4.65,,,,,,,,
55599,55599,03/13/2017,197168.11,03/27/2017,03/27/2017,Closed,Refi,10,Fixed,4.75,,,,,,,,
55616,55616,03/13/2017,121998.2,04/27/2017,04/27/2017,Closed,Refi,15,Fixed,5.8,,,,,,,,
55630,55630,03/13/2017,78611.13,04/19/2017,04/19/2017,Closed,Refi,10,Fixed,5.15,,,,,,,,
55655,55655,03/13/2017,64016.64,04/24/2017,04/24/2017,Closed,Refi,10,Fixed,5.3,,,,,,,,
55664,55664,03/13/2017,229657.93,04/10/2017,04/10/2017,Closed,Refi,10,Fixed,5.05,,,,,,,,
55467,55467,03/13/2017,173577.72,03/28/2017,03/28/2017,Closed,Refi,15,Fixed,5.5,,,,,,,,
55499,55499,03/13/2017,177747.11,04/10/2017,04/10/2017,Closed,Refi,20,Fixed,5.45,,,,,,,,
55644,55644,03/13/2017,99495,06/12/2017,06/12/2017,Closed,Refi,20,Fixed,5.6,,,,,,,,
55695,55695,03/14/2017,94370.21,04/10/2017,04/10/2017,Closed,Refi,10,Fixed,5.15,,,,,,,,
55698,55698,03/14/2017,152055.57,04/19/2017,04/19/2017,Closed,Refi,15,Fixed,5.5,,,,,,,,
55705,55705,03/14/2017,17970.9,04/05/2017,04/05/2017,Closed,Refi,20,Fixed,6.35,,,,,,,,
55713,55713,03/14/2017,98280.67,05/04/2017,05/04/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
55726,55726,03/14/2017,200884.54,03/22/2017,03/22/2017,Closed,Refi,10,Fixed,5.05,,,,,,,,
55743,55743,03/14/2017,130977.59,04/24/2017,04/24/2017,Closed,Refi,20,Fixed,5.9,,,,,,,,
55758,55758,03/14/2017,73490.77,04/04/2017,04/04/2017,Closed,Refi,10,Fixed,5.15,,,,,,,,
55772,55772,03/14/2017,174794.75,03/24/2017,03/24/2017,Closed,Refi,10,Fixed,4.95,,,,,,,,
55838,55838,03/14/2017,16034.05,04/19/2017,04/19/2017,Closed,Refi,10,Fixed,5.5,,,,,,,,
55848,55848,03/14/2017,33625.29,05/24/2017,05/24/2017,Closed,Refi,10,Fixed,5.05,,,,,,,,
55869,55869,03/14/2017,247000,03/27/2017,03/27/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
55905,55905,03/14/2017,13400,04/25/2017,04/25/2017,Closed,Refi,10,Fixed,5.05,,,,,,,,
55920,55920,03/14/2017,45031.67,04/05/2017,04/05/2017,Closed,Refi,10,Fixed,5.4,,,,,,,,
55927,55927,03/14/2017,42906.18,03/24/2017,03/24/2017,Closed,Refi,20,Fixed,6.15,,,,,,,,
55953P1,55953P1,03/14/2017,138217.97,03/24/2017,03/24/2017,Closed,Refi,20,Fixed,5.7,,,,,,,,
55967,55967,03/14/2017,233940.24,04/20/2017,04/20/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
55771P2,55771P2,03/14/2017,163118.16,03/23/2017,03/23/2017,Closed,Refi,10,Fixed,5.3,,,,,,,,
55694,55694,03/14/2017,59073.26,03/23/2017,03/23/2017,Closed,Refi,20,Fixed,5.8,,,,,,,,
55725,55725,03/14/2017,61243.92,04/05/2017,04/05/2017,Closed,Refi,10,Fixed,5.4,,,,,,,,
55771P1,55771P1,03/14/2017,163118.16,03/23/2017,03/23/2017,Closed,Refi,10,Fixed,5.3,,,,,,,,
55801,55801,03/14/2017,59540.39,04/18/2017,04/18/2017,Closed,Refi,20,Fixed,5.77,,,,,,,,
55815,55815,03/14/2017,164410.54,04/06/2017,04/06/2017,Closed,Refi,20,Variable,5.36,,,,,,,,
55827,55827,03/14/2017,81621.04,04/19/2017,04/19/2017,Closed,Refi,7,Fixed,4.6,,,,,,,,
55832,55832,03/14/2017,81761.93,04/03/2017,04/03/2017,Closed,Refi,15,Fixed,5.8,,,,,,,,
55834,55834,03/14/2017,108911.15,03/27/2017,03/27/2017,Closed,Refi,15,Fixed,6,,,,,,,,
55839,55839,03/14/2017,87934.83,03/24/2017,03/24/2017,Closed,Refi,7,Fixed,5.15,,,,,,,,
55893,55893,03/14/2017,60770.02,04/06/2017,04/06/2017,Closed,Refi,20,Variable,4.84,,,,,,,,
55899,55899,03/14/2017,91045.03,05/01/2017,05/01/2017,Closed,Refi,20,Variable,4.99,,,,,,,,
55916,55916,03/14/2017,91731.95,04/25/2017,04/25/2017,Closed,Refi,10,Fixed,5.3,,,,,,,,
55923,55923,03/14/2017,54995.81,04/03/2017,04/03/2017,Closed,Refi,10,Fixed,5.5,,,,,,,,
55936,55936,03/14/2017,26379.16,04/04/2017,04/04/2017,Closed,Refi,15,Fixed,5.7,,,,,,,,
55943,55943,03/14/2017,217095.73,05/17/2017,05/17/2017,Closed,Refi,10,Fixed,4.95,,,,,,,,
55959,55959,03/14/2017,129820.8,04/24/2017,04/24/2017,Closed,Refi,20,Fixed,5.45,,,,,,,,
55968,55968,03/14/2017,122650.65,04/05/2017,04/05/2017,Closed,Refi,20,Fixed,5.6,,,,,,,,
55953P3,55953P3,03/14/2017,138217.97,03/24/2017,03/24/2017,Closed,Refi,20,Fixed,5.7,,,,,,,,
55953P2,55953P2,03/14/2017,138217.97,03/24/2017,03/24/2017,Closed,Refi,20,Fixed,5.7,,,,,,,,
55733,55733,03/14/2017,31895.86,03/24/2017,03/24/2017,Closed,Refi,5,Variable,5,,,,,,,,
55845,55845,03/14/2017,135000,04/19/2017,04/19/2017,Closed,Refi,20,Fixed,6.05,,,,,,,,
55885,55885,03/14/2017,252004.69,04/25/2017,04/25/2017,Closed,Refi,20,Fixed,5.6,,,,,,,,
55922,55922,03/14/2017,94291.66,03/23/2017,03/23/2017,Closed,Refi,10,Fixed,4.75,,,,,,,,
55952,55952,03/14/2017,78747.89,04/05/2017,04/05/2017,Closed,Refi,15,Fixed,5.15,,,,,,,,
55754,55754,03/14/2017,88069,04/19/2017,04/19/2017,Closed,Refi,15,Fixed,5.15,,,,,,,,
56060P2,56060P2,03/15/2017,158688.45,04/20/2017,04/20/2017,Closed,Refi,10,Fixed,4.85,,,,,,,,
56018,56018,03/15/2017,20582.86,04/05/2017,04/05/2017,Closed,Refi,10,Fixed,5.4,,,,,,,,
56020,56020,03/15/2017,218315.94,05/01/2017,05/01/2017,Closed,Refi,7,Fixed,4.95,,,,,,,,
56021,56021,03/15/2017,12510.68,04/03/2017,04/03/2017,Closed,Refi,5,Variable,3.93,,,,,,,,
56041,56041,03/15/2017,279006.73,03/23/2017,03/23/2017,Closed,Refi,15,Fixed,5.35,,,,,,,,
56080,56080,03/15/2017,41352.6,03/27/2017,03/27/2017,Closed,Refi,10,Fixed,5.15,,,,,,,,
56156,56156,03/15/2017,112000,04/26/2017,04/26/2017,Closed,Refi,7,Fixed,4.85,,,,,,,,
56180,56180,03/15/2017,27975.91,03/28/2017,03/28/2017,Closed,Refi,7,Fixed,5,,,,,,,,
56224,56224,03/15/2017,24234.2,03/27/2017,03/27/2017,Closed,Refi,15,Fixed,5.35,,,,,,,,
56240,56240,03/15/2017,99365.99,04/24/2017,04/24/2017,Closed,Refi,5,Fixed,5.65,,,,,,,,
56248,56248,03/15/2017,36505.73,05/25/2017,05/25/2017,Closed,Refi,10,Fixed,5.15,,,,,,,,
56271,56271,03/15/2017,18284.68,04/05/2017,04/05/2017,Closed,Refi,10,Fixed,5.6,,,,,,,,
55993P2,55993P2,03/15/2017,150593.85,04/27/2017,04/27/2017,Closed,Refi,15,Fixed,5.35,,,,,,,,
56181P2,56181P2,03/15/2017,194690.6,05/15/2017,05/15/2017,Closed,Refi,10,Fixed,4.71,,,,,,,,
55994,55994,03/15/2017,166490.99,04/03/2017,04/03/2017,Closed,Refi,20,Fixed,5.8,,,,,,,,
56004,56004,03/15/2017,277689.39,04/26/2017,04/26/2017,Closed,Refi,20,Fixed,5.4,,,,,,,,
56009,56009,03/15/2017,16386.27,03/23/2017,03/23/2017,Closed,Refi,5,Fixed,4.85,,,,,,,,
56026,56026,03/15/2017,134200,06/21/2017,06/21/2017,Closed,Refi,20,Fixed,5.55,,,,,,,,
56049,56049,03/15/2017,65551.5,04/19/2017,04/19/2017,Closed,Refi,5,Fixed,4.65,,,,,,,,
56060P1,56060P1,03/15/2017,158688.45,04/20/2017,04/20/2017,Closed,Refi,10,Fixed,4.85,,,,,,,,
56075,56075,03/15/2017,29378.77,05/16/2017,05/16/2017,Closed,Refi,5,Fixed,4.85,,,,,,,,
56089,56089,03/15/2017,235042,04/07/2017,04/07/2017,Closed,Refi,15,Fixed,5.6,,,,,,,,
56097,56097,03/15/2017,57813.53,04/10/2017,04/10/2017,Closed,Refi,15,Fixed,5.5,,,,,,,,
56113,56113,03/15/2017,120089.9,04/19/2017,04/19/2017,Closed,Refi,10,Fixed,5.9,,,,,,,,
56119,56119,03/15/2017,35532.09,04/05/2017,04/05/2017,Closed,Refi,10,Fixed,5.4,,,,,,,,
56118,56118,03/15/2017,22144.79,04/04/2017,04/04/2017,Closed,Refi,7,Fixed,4.95,,,,,,,,
56146,56146,03/15/2017,205397.19,04/19/2017,04/19/2017,Closed,Refi,20,Fixed,5.15,,,,,,,,
56158,56158,03/15/2017,51015.22,04/06/2017,04/06/2017,Closed,Refi,10,Fixed,5.4,,,,,,,,
56196,56196,03/15/2017,40230,05/09/2017,05/09/2017,Closed,Refi,20,Fixed,6.05,,,,,,,,
56270,56270,03/15/2017,230433.36,04/18/2017,04/18/2017,Closed,Refi,20,Fixed,5.9,,,,,,,,
55975,55975,03/15/2017,29528.82,04/05/2017,04/05/2017,Closed,Refi,5,Variable,4.16,,,,,,,,
55987,55987,03/15/2017,159144.56,05/03/2017,05/03/2017,Closed,Refi,7,Fixed,4.55,,,,,,,,
55993P1,55993P1,03/15/2017,150593.85,04/27/2017,04/27/2017,Closed,Refi,15,Fixed,5.35,,,,,,,,
56030,56030,03/15/2017,51182.83,04/11/2017,04/11/2017,Closed,Refi,15,Fixed,5.7,,,,,,,,
56256,56256,03/15/2017,59945.45,04/18/2017,04/18/2017,Closed,Refi,10,Fixed,4.75,,,,,,,,
56063,56063,03/15/2017,262097.25,03/27/2017,03/27/2017,Closed,Refi,10,Fixed,4.75,,,,,,,,
56181P1,56181P1,03/15/2017,194690.6,05/15/2017,05/15/2017,Closed,Refi,10,Fixed,4.71,,,,,,,,
56186,56186,03/15/2017,50910.9,04/24/2017,04/24/2017,Closed,Refi,20,Fixed,6.05,,,,,,,,
56275,56275,03/15/2017,224724,04/24/2017,04/24/2017,Closed,Refi,15,Fixed,5.35,,,,,,,,
56229,56229,03/15/2017,133665.17,05/03/2017,05/03/2017,Closed,Refi,10,Fixed,5.6,,,,,,,,
5001602098D01,,03/16/2017,73000,,,Approved,In-School,,,,,,,,,,,
56329,56329,03/16/2017,82373.87,06/20/2017,06/20/2017,Closed,Refi,5,Fixed,5.35,,,,,,,,
56332,56332,03/16/2017,7043.24,03/27/2017,03/27/2017,Closed,Refi,5,Fixed,5.1,,,,,,,,
56340,56340,03/16/2017,96167.25,04/26/2017,04/26/2017,Closed,Refi,5,Fixed,4.75,,,,,,,,
56364,56364,03/16/2017,115925.84,04/25/2017,04/25/2017,Closed,Refi,10,Fixed,4.95,,,,,,,,
56383P1,56383P1,03/16/2017,183313.3,03/24/2017,03/24/2017,Closed,Refi,10,Fixed,5.3,,,,,,,,
56388,56388,03/16/2017,153426,05/04/2017,05/04/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
56397,56397,03/16/2017,227577.08,04/05/2017,04/05/2017,Closed,Refi,20,Fixed,5.4,,,,,,,,
56401,56401,03/16/2017,103337.23,04/03/2017,04/03/2017,Closed,Refi,10,Fixed,4.75,,,,,,,,
56431,56431,03/16/2017,59519.71,04/24/2017,04/24/2017,Closed,Refi,20,Fixed,5.6,,,,,,,,
56482,56482,03/16/2017,23870.53,04/19/2017,04/19/2017,Closed,Refi,5,Fixed,5.2,,,,,,,,
56492,56492,03/16/2017,68694.56,04/05/2017,04/05/2017,Closed,Refi,20,Fixed,5.45,,,,,,,,
56532,56532,03/16/2017,108850,04/24/2017,04/24/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
56298,56298,03/16/2017,59611.67,05/01/2017,05/01/2017,Closed,Refi,13,Fixed,5.5,,,,,,,,
56327,56327,03/16/2017,88000,05/12/2017,05/12/2017,Closed,Refi,15,Fixed,5.7,,,,,,,,
56330,56330,03/16/2017,130167.58,04/25/2017,04/25/2017,Closed,Refi,10,Fixed,4.95,,,,,,,,
56342,56342,03/16/2017,103813.8,03/27/2017,03/27/2017,Closed,Refi,20,Fixed,5.6,,,,,,,,
56344,56344,03/16/2017,156336.57,04/07/2017,04/07/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
56354,56354,03/16/2017,144327.74,04/05/2017,04/05/2017,Closed,Refi,20,Fixed,6.05,,,,,,,,
56363,56363,03/16/2017,49037.84,04/26/2017,04/26/2017,Closed,Refi,10,Fixed,5.4,,,,,,,,
56368,56368,03/16/2017,106936.86,05/12/2017,05/12/2017,Closed,Refi,15,Fixed,5.15,,,,,,,,
56427,56427,03/16/2017,173628.54,03/27/2017,03/27/2017,Closed,Refi,10,Fixed,4.75,,,,,,,,
56436,56436,03/16/2017,104779.7,04/05/2017,04/05/2017,Closed,Refi,10,Fixed,4.75,,,,,,,,
56454,56454,03/16/2017,125328.72,04/19/2017,04/19/2017,Closed,Refi,20,Fixed,5.8,,,,,,,,
56461,56461,03/16/2017,162431.27,04/24/2017,04/24/2017,Closed,Refi,10,Fixed,4.95,,,,,,,,
56484,56484,03/16/2017,11369.5,04/24/2017,04/24/2017,Closed,Refi,10,Fixed,5.4,,,,,,,,
56495,56495,03/16/2017,91619,04/24/2017,04/24/2017,Closed,Refi,10,Fixed,5.05,,,,,,,,
56510,56510,03/16/2017,53234.73,04/06/2017,04/06/2017,Closed,Refi,10,Fixed,5.5,,,,,,,,
56526,56526,03/16/2017,118265.36,04/04/2017,04/04/2017,Closed,Refi,7,Fixed,4.55,,,,,,,,
56383P2,56383P2,03/16/2017,183313.3,03/24/2017,03/24/2017,Closed,Refi,10,Fixed,5.3,,,,,,,,
56286,56286,03/16/2017,113395.94,04/06/2017,04/06/2017,Closed,Refi,15,Fixed,5.15,,,,,,,,
56323,56323,03/16/2017,89463.47,04/03/2017,04/03/2017,Closed,Refi,20,Fixed,5.8,,,,,,,,
56668P2,56668P2,03/17/2017,153142.03,05/02/2017,05/02/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
56609P2,56609P2,03/17/2017,151610.62,04/25/2017,04/25/2017,Closed,Refi,10,Fixed,4.95,,,,,,,,
56668P3,56668P3,03/17/2017,153142.03,05/02/2017,05/02/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
56550,56550,03/17/2017,33711.78,04/03/2017,04/03/2017,Closed,Refi,10,Fixed,4.95,,,,,,,,
56563,56563,03/17/2017,200594.33,03/27/2017,03/27/2017,Closed,Refi,20,Fixed,5.8,,,,,,,,
56574,56574,03/17/2017,52251.91,03/28/2017,03/28/2017,Closed,Refi,20,Fixed,6.05,,,,,,,,
56596,56596,03/17/2017,81132.01,04/24/2017,04/24/2017,Closed,Refi,10,Fixed,4.75,,,,,,,,
56600,56600,03/17/2017,186026.44,04/24/2017,04/24/2017,Closed,Refi,10,Fixed,5.05,,,,,,,,
56613,56613,03/17/2017,33039.5,04/04/2017,04/04/2017,Closed,Refi,10,Fixed,5.4,,,,,,,,
56618,56618,03/17/2017,22571.92,03/27/2017,03/27/2017,Closed,Refi,7,Fixed,5.4,,,,,,,,
56624,56624,03/17/2017,150879.15,04/03/2017,04/03/2017,Closed,Refi,7,Fixed,5.9,,,,,,,,
56635,56635,03/17/2017,84000,04/19/2017,04/19/2017,Closed,Refi,10,Fixed,4.75,,,,,,,,
56640,56640,03/17/2017,39608.57,04/04/2017,04/04/2017,Closed,Refi,15,Fixed,5.7,,,,,,,,
56666,56666,03/17/2017,80974.56,04/03/2017,04/03/2017,Closed,Refi,20,Fixed,5.8,,,,,,,,
56678,56678,03/17/2017,110685.25,04/06/2017,04/06/2017,Closed,Refi,15,Fixed,5.15,,,,,,,,
56543,56543,03/17/2017,76031.42,04/04/2017,04/04/2017,Closed,Refi,10,Fixed,5.05,,,,,,,,
56558,56558,03/17/2017,77468.74,04/03/2017,04/03/2017,Closed,Refi,10,Fixed,5.05,,,,,,,,
56580,56580,03/17/2017,29733.68,04/03/2017,04/03/2017,Closed,Refi,5,Fixed,4.45,,,,,,,,
56583,56583,03/17/2017,75217.4,04/03/2017,04/03/2017,Closed,Refi,15,Fixed,5.5,,,,,,,,
56593,56593,03/17/2017,92495.94,04/03/2017,04/03/2017,Closed,Refi,5,Fixed,4.45,,,,,,,,
56594,56594,03/17/2017,237000.98,04/03/2017,04/03/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
56609P1,56609P1,03/17/2017,151610.62,04/25/2017,04/25/2017,Closed,Refi,10,Fixed,4.95,,,,,,,,
56612,56612,03/17/2017,132189.82,04/19/2017,04/19/2017,Closed,Refi,20,Fixed,5.45,,,,,,,,
56614,56614,03/17/2017,108023.07,04/03/2017,04/03/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
56622,56622,03/17/2017,80023.22,04/19/2017,04/19/2017,Closed,Refi,20,Fixed,6.15,,,,,,,,
56629,56629,03/17/2017,22498.04,04/06/2017,04/06/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
56668P1,56668P1,03/17/2017,153142.03,05/02/2017,05/02/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
56671,56671,03/17/2017,272946.66,04/04/2017,04/04/2017,Closed,Refi,10,Fixed,4.95,,,,,,,,
56546P2,56546P2,03/17/2017,172206.32,04/25/2017,04/25/2017,Closed,Refi,10,Fixed,4.85,,,,,,,,
56546P1,56546P1,03/17/2017,172206.32,04/25/2017,04/25/2017,Closed,Refi,10,Fixed,4.85,,,,,,,,
56620,56620,03/17/2017,65816.82,03/27/2017,03/27/2017,Closed,Refi,7,Fixed,5,,,,,,,,
56699,56699,03/17/2017,54088.92,04/25/2017,04/25/2017,Closed,Refi,15,Fixed,5.5,,,,,,,,
56733P2,56733P2,03/18/2017,164256.5,04/10/2017,04/10/2017,Closed,Refi,15,Variable,4.13,,,,,,,,
56733P3,56733P3,03/18/2017,164256.5,04/10/2017,04/10/2017,Closed,Refi,15,Variable,4.13,,,,,,,,
56912,56912,03/18/2017,114549.97,04/25/2017,04/25/2017,Closed,Refi,15,Fixed,5.5,,,,,,,,
56708,56708,03/18/2017,98301.8,05/19/2017,05/19/2017,Closed,Refi,15,Variable,4.46,,,,,,,,
56745,56745,03/18/2017,6313.82,04/10/2017,04/10/2017,Closed,Refi,5,Fixed,4.85,,,,,,,,
56749,56749,03/18/2017,92468.8,04/10/2017,04/10/2017,Closed,Refi,15,Fixed,5.7,,,,,,,,
56775,56775,03/18/2017,79367.64,04/03/2017,04/03/2017,Closed,Refi,20,Fixed,5.45,,,,,,,,
56799,56799,03/18/2017,44979.26,03/28/2017,03/28/2017,Closed,Refi,20,Fixed,5.8,,,,,,,,
56800,56800,03/18/2017,72437.53,03/27/2017,03/27/2017,Closed,Refi,10,Fixed,5.3,,,,,,,,
56809,56809,03/18/2017,59004.57,04/10/2017,04/10/2017,Closed,Refi,20,Fixed,6.05,,,,,,,,
56826,56826,03/18/2017,181936.97,04/04/2017,04/04/2017,Closed,Refi,10,Fixed,5.3,,,,,,,,
56846,56846,03/18/2017,77228.58,03/28/2017,03/28/2017,Closed,Refi,20,Fixed,5.8,,,,,,,,
56853,56853,03/18/2017,155544.69,05/11/2017,05/11/2017,Closed,Refi,7,Fixed,5.15,,,,,,,,
56864,56864,03/18/2017,226871.33,04/04/2017,04/04/2017,Closed,Refi,20,Fixed,5.45,,,,,,,,
56871,56871,03/18/2017,88360.8,04/18/2017,04/18/2017,Closed,Refi,15,Fixed,5.8,,,,,,,,
56877,56877,03/18/2017,83193.59,03/28/2017,03/28/2017,Closed,Refi,10,Fixed,4.95,,,,,,,,
56884,56884,03/18/2017,56428.25,04/05/2017,04/05/2017,Closed,Refi,20,Fixed,6.05,,,,,,,,
56891,56891,03/18/2017,278816.6,04/04/2017,04/04/2017,Closed,Refi,15,Fixed,5.8,,,,,,,,
56746P2,56746P2,03/18/2017,140758.07,04/24/2017,04/24/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
56727,56727,03/18/2017,199443.31,03/28/2017,03/28/2017,Closed,Refi,15,Fixed,5.6,,,,,,,,
56733P1,56733P1,03/18/2017,164256.5,04/10/2017,04/10/2017,Closed,Refi,15,Variable,4.13,,,,,,,,
56779,56779,03/18/2017,185302.9,04/18/2017,04/18/2017,Closed,Refi,10,Fixed,5.05,,,,,,,,
56787,56787,03/18/2017,92359.82,04/19/2017,04/19/2017,Closed,Refi,7,Fixed,4.85,,,,,,,,
56789,56789,03/18/2017,62042.01,04/27/2017,04/27/2017,Closed,Refi,10,Fixed,5.5,,,,,,,,
56793,56793,03/18/2017,173333.15,04/24/2017,04/24/2017,Closed,Refi,15,Fixed,5.5,,,,,,,,
56807,56807,03/18/2017,179000,05/04/2017,05/04/2017,Closed,Refi,10,Fixed,5.05,,,,,,,,
56811,56811,03/18/2017,72456.19,04/19/2017,04/19/2017,Closed,Refi,5,Fixed,5.2,,,,,,,,
56831,56831,03/18/2017,137531.62,04/25/2017,04/25/2017,Closed,Refi,10,Fixed,4.85,,,,,,,,
56842,56842,03/18/2017,32029,04/03/2017,04/03/2017,Closed,Refi,5,Variable,4.16,,,,,,,,
56852,56852,03/18/2017,70247.87,04/25/2017,04/25/2017,Closed,Refi,10,Fixed,5,,,,,,,,
56888,56888,03/18/2017,64000,04/03/2017,04/03/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
56746P3,56746P3,03/18/2017,140758.07,04/24/2017,04/24/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
56746P1,56746P1,03/18/2017,140758.07,04/24/2017,04/24/2017,Closed,Refi,15,Fixed,5.25,,,,,,,,
56757,56757,03/18/2017,126677.34,06/05/2017,06/05/2017,Closed,Refi,15,Fixed,5.7,,,,,,,,
56767,56767,03/18/2017,34309.18,04/04/2017,04/04/2017,Closed,Refi,10,Fixed,4.9,,,,,,,,
56772,56772,03/18/2017,150870,07/07/2017,07/07/2017,Closed,Refi,10,Fixed,5.55,,,,,,,,
56935,56935,03/19/2017,21861.67,03/27/2017,03/27/2017,Closed,Refi,10,Fixed,5.3,,,,,,,,
56946,56946,03/19/2017,71001.44,04/10/2017,04/10/2017,Closed,Refi,10,Fixed,4.95,,,,,,,,
56954,56954,03/19/2017,83561.44,06/05/2017,06/05/2017,Closed,Refi,15,Fixed,5.7,,,,,,,,
56965,56965,03/19/2017,43395.66,05/08/2017,05/08/2017,Closed,Refi,20,Fixed,6.75,,,,,,,,
56967,56967,03/19/2017,43000,04/06/2017,04/06/2017,Closed,Refi,7,Fixed,5,,,,,,,,
56981,56981,03/19/2017,39722,04/24/2017,04/24/2017,Closed,Refi,10,Fixed,4.9,,,,,,,,
57010,57010,03/19/2017,110981.4,06/06/2017,06/06/2017,Closed,Refi,20,Variable,4.45,,,,,,,,
57016,57016,03/19/2017,97516.62,04/05/2017,04/05/2017,Closed,Refi,15,Fixed,5.5,,,,,,,,
57030,57030,03/19/2017,197057.99,04/03/2017,04/03/2017,Closed,Refi,15,Fixed,5.35,,,,,,,,
57051,57051,03/19/2017,8589.2,04/03/2017,04/03/2017,Closed,Refi,5,Variable,3.68,,,,,,,,
57078,57078,03/19/2017,87870.13,04/19/2017,04/19/2017,Closed,Refi,15,Fixed,5.6,,,,,,,,
